Timestamp,Time,Latitude,Longitude,Fix,Sats,Altitude
,233840.000,5549.8117N,00430.0491W,1,32,53.4
,233841.000,5549.8117N,00430.0490W,1,32,53.4
,233842.000,5549.8117N,00430.0490W,1,32,53.3
,233843.000,5549.8117N,00430.0490W,1,32,53.3
,233844.000,5549.8117N,00430.0491W,1,32,53.3
,233845.000,5549.8117N,00430.0491W,1,32,53.3
,233846.000,5549.8117N,00430.0492W,1,32,53.3
,233847.000,5549.8117N,00430.0492W,1,32,53.3
,233848.000,5549.8117N,00430.0492W,1,31,53.3
,233849.000,5549.8117N,00430.0492W,1,31,53.2
,233850.000,5549.8117N,00430.0492W,1,31,53.2
,233851.000,5549.8117N,00430.0492W,1,31,53.2
,233852.000,5549.8116N,00430.0492W,1,31,53.2
,233853.000,5549.8116N,00430.0492W,1,31,53.2
,233854.000,5549.8116N,00430.0492W,1,31,53.2
,233855.000,5549.8116N,00430.0492W,1,31,53.1
,233856.000,5549.8115N,00430.0492W,1,31,53.1
,233857.000,5549.8115N,00430.0492W,1,31,53.1
,233858.000,5549.8115N,00430.0492W,1,31,53.1
,233859.000,5549.8115N,00430.0492W,1,31,53.1
,233900.000,5549.8115N,00430.0492W,1,31,53.1
,233901.000,5549.8115N,00430.0492W,1,30,53.0
,233902.000,5549.8115N,00430.0493W,1,30,53.0
,233903.000,5549.8115N,00430.0493W,1,30,53.0
,233904.000,5549.8115N,00430.0493W,1,30,53.0
,233905.000,5549.8115N,00430.0492W,1,30,53.0
,233906.000,5549.8115N,00430.0493W,1,30,52.9
,233907.000,5549.8114N,00430.0492W,1,30,52.9
,233908.000,5549.8114N,00430.0493W,1,30,52.9
,233909.000,5549.8114N,00430.0493W,1,31,52.9
,233910.000,5549.8114N,00430.0493W,1,31,52.8
,233911.000,5549.8114N,00430.0493W,1,31,52.8
,233912.000,5549.8114N,00430.0493W,1,31,52.8
,233913.000,5549.8114N,00430.0493W,1,32,52.8
,233914.000,5549.8114N,00430.0493W,1,31,52.7
,233915.000,5549.8114N,00430.0493W,1,32,52.7
,233916.000,5549.8114N,00430.0494W,1,32,52.7
,233917.000,5549.8114N,00430.0494W,1,32,52.6
,233918.000,5549.8114N,00430.0494W,1,32,52.6
,233919.000,5549.8114N,00430.0494W,1,32,52.6
,233920.000,5549.8114N,00430.0495W,1,32,52.6
,233921.000,5549.8113N,00430.0495W,1,32,52.6
,233922.000,5549.8113N,00430.0495W,1,32,52.5
,233923.000,5549.8113N,00430.0495W,1,32,52.4
,233924.000,5549.8113N,00430.0495W,1,32,52.4
,233925.000,5549.8113N,00430.0495W,1,32,52.4
,233926.000,5549.8113N,00430.0495W,1,31,52.3
,233927.000,5549.8113N,00430.0495W,1,31,52.4
,233928.000,5549.8112N,00430.0495W,1,32,52.3
,233929.000,5549.8112N,00430.0495W,1,30,52.3
,233930.000,5549.8112N,00430.0495W,1,30,52.3
,233931.000,5549.8112N,00430.0495W,1,31,52.3
,233932.000,5549.8112N,00430.0495W,1,31,52.3
,233933.000,5549.8112N,00430.0495W,1,31,52.3
,233934.000,5549.8112N,00430.0496W,1,31,52.3
,233935.000,5549.8112N,00430.0496W,1,31,52.3
,233936.000,5549.8112N,00430.0496W,1,31,52.3
,233937.000,5549.8112N,00430.0495W,1,31,52.2
,233938.000,5549.8112N,00430.0495W,1,31,52.2
,233939.000,5549.8112N,00430.0495W,1,31,52.2
,233940.000,5549.8112N,00430.0495W,1,31,52.2
,233941.000,5549.8112N,00430.0495W,1,31,52.2
,233942.000,5549.8112N,00430.0495W,1,31,52.2
,233943.000,5549.8112N,00430.0495W,1,31,52.2
,233944.000,5549.8112N,00430.0495W,1,31,52.2
,233945.000,5549.8112N,00430.0495W,1,30,52.2
,233946.000,5549.8112N,00430.0495W,1,32,52.2
,233947.000,5549.8112N,00430.0495W,1,32,52.1
,233948.000,5549.8112N,00430.0495W,1,31,52.1
,233949.000,5549.8111N,00430.0494W,1,31,52.1
,233950.000,5549.8111N,00430.0494W,1,31,52.0
,233951.000,5549.8111N,00430.0494W,1,30,52.0
,233952.000,5549.8111N,00430.0494W,1,31,52.0
,233953.000,5549.8111N,00430.0494W,1,31,52.1
,233954.000,5549.8111N,00430.0494W,1,31,52.1
,233955.000,5549.8111N,00430.0494W,1,31,52.1
,233956.000,5549.8111N,00430.0494W,1,31,52.1
,233957.000,5549.8111N,00430.0493W,1,31,52.1
,233958.000,5549.8111N,00430.0493W,1,31,52.1
,233959.000,5549.8111N,00430.0493W,1,31,52.0
,234000.000,5549.8111N,00430.0493W,1,31,52.1
,234001.000,5549.8111N,00430.0492W,1,31,52.1
,234002.000,5549.8112N,00430.0492W,1,31,52.1
,234003.000,5549.8112N,00430.0492W,1,31,52.2
,234004.000,5549.8113N,00430.0492W,1,32,52.2
,234005.000,5549.8112N,00430.0492W,1,33,52.2
,234006.000,5549.8113N,00430.0492W,1,33,52.2
,234007.000,5549.8113N,00430.0492W,1,32,52.2
,234008.000,5549.8113N,00430.0491W,1,31,52.3
,234009.000,5549.8113N,00430.0491W,1,31,52.3
,234010.000,5549.8113N,00430.0492W,1,31,52.3
,234011.000,5549.8114N,00430.0491W,1,31,52.4
,234012.000,5549.8113N,00430.0491W,1,31,52.4
,234013.000,5549.8114N,00430.0491W,1,31,52.4
,234014.000,5549.8114N,00430.0491W,1,31,52.6
,234015.000,5549.8115N,00430.0491W,1,31,52.7
,234016.000,5549.8115N,00430.0491W,1,31,52.7
,234017.000,5549.8116N,00430.0491W,1,31,52.8
,234018.000,5549.8116N,00430.0491W,1,31,52.8
,234019.000,5549.8116N,00430.0491W,1,31,52.9
,234020.000,5549.8116N,00430.0491W,1,31,52.9
,234021.000,5549.8117N,00430.0491W,1,32,52.9
,234022.000,5549.8117N,00430.0491W,1,31,52.9
,234023.000,5549.8117N,00430.0491W,1,31,52.9
,234024.000,5549.8117N,00430.0491W,1,31,52.9
,234025.000,5549.8116N,00430.0491W,1,31,52.9
,234026.000,5549.8117N,00430.0492W,1,31,53.0
,234027.000,5549.8116N,00430.0492W,1,31,52.9
,234028.000,5549.8116N,00430.0492W,1,32,52.9
,234029.000,5549.8116N,00430.0492W,1,32,52.8
,234030.000,5549.8116N,00430.0492W,1,32,52.8
,234031.000,5549.8116N,00430.0492W,1,32,52.7
,234032.000,5549.8116N,00430.0492W,1,32,52.7
,234033.000,5549.8116N,00430.0493W,1,32,52.7
,234034.000,5549.8116N,00430.0493W,1,31,52.6
,234035.000,5549.8115N,00430.0492W,1,31,52.5
,234036.000,5549.8115N,00430.0492W,1,31,52.4
,234037.000,5549.8114N,00430.0492W,1,31,52.4
,234038.000,5549.8114N,00430.0492W,1,32,52.3
,234039.000,5549.8114N,00430.0491W,1,32,52.2
,234040.000,5549.8113N,00430.0492W,1,31,52.1
,234041.000,5549.8113N,00430.0491W,1,31,52.1
,234042.000,5549.8112N,00430.0491W,1,31,52.0
,234043.000,5549.8112N,00430.0491W,1,30,51.9
,234044.000,5549.8112N,00430.0491W,1,30,51.9
,234045.000,5549.8112N,00430.0491W,1,29,51.8
,234046.000,5549.8112N,00430.0491W,1,29,51.8
,234047.000,5549.8112N,00430.0491W,1,29,51.8
,234048.000,5549.8111N,00430.0491W,1,29,51.8
,234049.000,5549.8111N,00430.0491W,1,30,51.8
,234050.000,5549.8111N,00430.0491W,1,30,51.7
,234051.000,5549.8112N,00430.0491W,1,30,51.7
,234052.000,5549.8112N,00430.0491W,1,30,51.6
,234053.000,5549.8112N,00430.0491W,1,29,51.5
,234054.000,5549.8112N,00430.0491W,1,30,51.5
,234055.000,5549.8112N,00430.0491W,1,30,51.4
,234056.000,5549.8112N,00430.0491W,1,30,51.3
,234057.000,5549.8112N,00430.0491W,1,29,51.4
,234058.000,5549.8112N,00430.0491W,1,31,51.3
,234059.000,5549.8111N,00430.0491W,1,31,51.2
,234100.000,5549.8111N,00430.0491W,1,30,51.1
,234101.000,5549.8111N,00430.0491W,1,30,51.0
,234102.000,5549.8111N,00430.0491W,1,30,51.0
,234103.000,5549.8110N,00430.0491W,1,30,51.0
,234104.000,5549.8110N,00430.0490W,1,30,50.9
,234105.000,5549.8110N,00430.0490W,1,30,50.8
,234106.000,5549.8109N,00430.0490W,1,30,50.7
